DataContainerAsset 7e88eda9281dc14192390e967c85b80e
    $::Asset
        $::DataContainer
        Name Gameplay/Vehicles/VEH_Tank_Churchill/WheelConfig_ChurchillCrocodileTrailer
    Data 07933a0db8918042bb115c78127b3b74
WheelConfigData 07933a0db8918042bb115c78127b3b74
    $::DataContainer
    Radius 0.550000011921
    Width 0.20000000298
    Offset::Vec3
        x 0.0
        y 0.0
        z 0.0
    Inertia::Vec3
        x 2.0
        y 2.0
        z 2.0
    Mass 10.0
    RotationBody *nullGuid*
    CollisionMaterialPair::MaterialDecl
        Packed 2048
    DrivingType 0
    SteeringType 0
    FrictionMethod 0
    RotationDirectionIndex 0
    SteeringAngleIndex 1
    EngineIndex 0
    Spring::SpringData
        Length 0.20000000298
        Stiffness 0.5
        Damping 0.20000000298
        ProgressiveStartRatio 0.5
        ProgressiveExponent 1.0
        VisualClipOffset 0.0
        ExtensionDamping 1.0
        CompressionDamping 1.0
        LoadSmoothingFactor 1.0
        EffectiveMassFactor 0.0
        HeavyLandingSpringFactor 1.0
        AttachOffsetY 0.0
        DisabledStrenghModifier 0.5
        SpringForceModifier 1.0
        UseShockAbsorberSuspension False
        UseContactNormal True
    RollingResistanceInternalBaseFactor 15.0
    RollingResistanceBaseFactor 15.0
    RollingResistanceVelocityFactor 150.0
    EngineBrakeFactor 0.20000000298
    RotationalRestrictionCurve *nullGuid*
    Resistance 0.0
    TransmissionLoss *nullArray*
    BrakeFactor 0.125
    BrakeForce 4000.0
    HandBrakeFactor 0.0
    HandBrakeForce 0.0
    DiffGearRatio 1.0
    LowSpeedSteeringSensitivity 1.0
    SteerInertia *nullGuid*
    SteeringSensitivity *nullArray*
    TrackedSteeringConfig *nullGuid*
    TrackedSteering::TrackedSteeringAtVelocity
        AddedThrottleCurve *nullGuid*
        BrakingCurve *nullGuid*
        ScaleBrakeByThrottleCurve *nullGuid*
        BrakingAtFullThrottleCurve *nullGuid*
        BrakingAtNoThrottleCurve *nullGuid*
    TrackedTurnSpeedLimit 1.0
    TrackedForwardSpeedLimit 1.0
    TrackedSlipSteerReductionScale 1.0
    TrackedSteeringBoostOnOppositeTorque 0.0
    SlopeGripMinAngle 89.0
    SlopeGripMaxAngle 90.0
    SlopeGripExponent 1
    SideSlipAngleMaxSlipCondition 13.75
    AngularVelocityMinSlipCondition 2.84999990463
    WheelVelocityXMinSlipCondition 0.180000007153
    WheelSlipRatioMaxSlipCondition 0.125
    LongitudinalFrictionForceMaxFactor 100.0
    LateralFrictionForceMaxFactor 200.0
    LongitudinalSlipFactor 0.75
    LateralSlipFactor 0.75
    LongitudeFrictionScale *nullArray*
    LattitudeFrictionScale *nullArray*
    FxTorqueRadiusMultiplier 1.0
    TotalFrictionScale 1.0
    TotalLateralFrictionScale 1.0
    LateralPosK 5.00238084793
    LateralNegK 0.0536059997976
    LongitudinalPosK 5.39649009705
    LongitudinalNegK 0.176532998681
    AlignMomScale 0.126552000642
    BrakingLongitudinalMultiplier 1.0
    BrakingLateralMultiplier 1.0
    WheelFrictionLattitudeBrakeScale 1.0
    WheelBaseLateral 0.0
    WheelBaseLongitudinal 0.0
    PacejkaConfigIndex 0
    AckermanDeviceType 0
    HasSteeringInverted False
    UseEngineBrake True
    IsAllowedToSpin False
    AdjustWheelRotation False
    AllowGripOnVehicles False
    AllowGripSlipTransition True
    ExtendClientRaycastWheel False
    CutSceneSettingsWheel::CutSceneSettingsWheel
        UseHighPrecisionAngularVelocity False
